Age,Gender,Parental_Education,Family_Income,Previous_Grades,Attendance,Class_Participation,Study_Hours,Major,School_Type,Financial_Status,Parental_Involvement,Educational_Resources,Motivation,Self_Esteem,Stress_Levels,School_Environment,Professor_Quality,Class_Size,Extracurricular_Activities,Sleep_Patterns,Nutrition,Physical_Activity,Screen_Time,Educational_Tech_Use,Peer_Group,Bullying,Study_Space,Tutoring,Mentoring,Lack_of_Interest,Time_Wasted_on_Social_Media,Sports_Participation,Learning_Style
18.9,,High School,Unknown,B,64.28,High,5.7,Engineering,Public,Low,Medium,No,High,Low,Medium,Neutral,Medium,36.4,,7.6,Healthy,Medium,7.9,No,Positive,No,Yes,Yes,Yes,Medium,0.2,,Auditory
17.4,Male,College,60000,C,,Low,3.3,Law,Public,Medium,Low,No,High,Medium,Medium,Neutral,Medium,20.3,Yes,4.2,Healthy,High,1.9,No,Positive,Yes,Yes,No,Yes,High,4.3,High,Kinesthetic
,Female,Some College,40000,B,,High,6.8,Arts,Private,Medium,,Yes,Low,High,Medium,Positive,Medium,37.0,No,4.7,Unhealthy,Medium,5.2,Yes,Negative,No,Yes,No,No,High,0.2,Low,Visual
16.8,Male,Some College,Unknown,,68.8,Medium,4.1,Law,Private,High,,No,High,Medium,Low,Positive,High,23.6,No,7.4,Unhealthy,Low,8.59,Yes,Positive,Yes,Yes,Yes,Yes,Low,4.5,Medium,Auditory
21.0,Female,Graduate,30000,C,88.2,Medium,7.4,Medicine,Private,Medium,High,Yes,Medium,High,Medium,Positive,Medium,24.8,Yes,6.7,Balanced,Medium,6.1,,Neutral,No,Yes,No,No,High,2.7,High,Visual
21.8,Female,Graduate,30000,B,65.3,Low,7.4,Law,Private,Low,Low,Yes,High,High,Medium,Positive,High,39.1,No,7.1,Unhealthy,Medium,5.1,Yes,Negative,Yes,Yes,No,Yes,Low,2.4,High,Visual
20.9,Female,Some College,30000,B,89.0,Medium,0.0,Engineering,Public,Medium,High,Yes,High,Medium,Medium,Neutral,Medium,29.6,No,,Balanced,High,6.4,Yes,Positive,Yes,Yes,Yes,Yes,Low,3.4,Low,Auditory
20.0,Male,College,60000,B,,Low,7.2,Law,Private,Medium,High,Yes,High,,High,Positive,High,,,7.9,Unhealthy,Medium,6.3,No,Neutral,No,Yes,No,No,Medium,1.1,High,Visual
23.6,Female,Some College,30000,B,67.8,,7.2,Science,Private,Medium,Low,Yes,Medium,Medium,Low,Neutral,,35.1,Yes,5.5,Healthy,High,1.04,No,Positive,No,Yes,Yes,No,High,4.5,High,Auditory
21.5,Male,Graduate,Unknown,A,68.1,,7.7,Law,Public,Medium,Medium,Yes,High,High,Low,Positive,Medium,37.0,No,8.2,Unhealthy,Medium,6.0,Yes,Negative,No,Yes,No,No,Medium,1.5,Low,Visual
17.1,Male,College,75000,B,60.7,Low,2.4,Business,Public,Medium,Low,No,Low,High,Medium,Positive,Medium,27.8,No,4.5,Healthy,Low,8.33,Yes,Negative,Yes,Yes,No,Yes,High,3.7,Medium,Visual
19.7,Female,College,50000,,98.4,Low,5.4,Business,Private,Low,Low,No,High,High,Medium,Positive,High,34.9,,4.3,Balanced,High,1.0,,,No,,Yes,No,High,,High,Auditory
21.4,Female,Some College,30000,B,65.8,High,0.3,Law,Private,Medium,Low,Yes,Medium,Low,Medium,Positive,Medium,20.1,Yes,5.3,Balanced,High,1.36,Yes,Negative,,Yes,No,No,High,2.5,High,Kinesthetic
21.4,Male,Some College,30000,B,62.2,High,4.0,Engineering,Public,Medium,Low,Yes,High,High,Low,Positive,High,20.6,Yes,7.0,Unhealthy,Medium,7.6,Yes,Positive,No,No,Yes,Yes,,0.9,High,Kinesthetic
19.9,Female,Graduate,40000,C,64.4,High,3.8,Arts,Public,Medium,Low,No,Medium,Low,Medium,Positive,Medium,32.3,Yes,,Healthy,High,0.0,Yes,Positive,,Yes,No,No,High,0.7,High,Kinesthetic
20.3,Male,Some College,60000,B,94.3,High,1.4,Science,Public,Low,Low,No,Medium,Medium,Medium,Neutral,High,35.9,Yes,4.6,,High,1.2,Yes,Positive,No,Yes,Yes,No,High,3.7,High,Auditory
19.9,Female,Some College,30000,C,91.7,High,5.2,Science,Private,Medium,High,No,High,Medium,Medium,Negative,Medium,21.6,Yes,7.1,Unhealthy,Medium,1.49,No,Positive,No,Yes,Yes,Yes,Low,4.5,Low,Auditory
24.1,Female,Graduate,50000,A,63.9,Low,7.0,Arts,,Low,Medium,No,Medium,High,Medium,Positive,Medium,32.3,Yes,8.8,Balanced,High,6.1,Yes,Neutral,No,Yes,No,No,High,2.2,High,Visual
18.4,Male,High School,50000,A,87.5,High,3.6,Science,Public,High,Low,Yes,High,Medium,Medium,Neutral,Medium,31.0,Yes,6.5,Balanced,Medium,7.7,No,Positive,No,No,Yes,Yes,Medium,2.5,High,Auditory
24.3,Female,College,Unknown,B,69.9,High,5.7,Engineering,Public,Low,Medium,Yes,High,Medium,Medium,Neutral,Low,23.8,Yes,7.4,Unhealthy,Medium,5.0,No,Positive,Yes,No,Yes,Yes,Low,0.0,Low,Auditory
21.3,Male,College,40000,B,70.8,High,,Business,Public,Medium,Low,Yes,Medium,Medium,Low,Neutral,Medium,21.5,Yes,,Healthy,High,0.2,Yes,Negative,No,Yes,Yes,No,High,1.0,High,Auditory
19.9,Female,,60000,C,76.1,High,0.9,Science,Private,Medium,Low,Yes,Medium,Medium,Medium,Positive,Medium,30.4,Yes,,Balanced,High,2.0,Yes,Positive,No,Yes,No,No,High,1.7,High,Kinesthetic
20.8,Female,High School,Unknown,A,94.7,Low,5.2,Science,Public,Medium,Low,Yes,High,Medium,High,Positive,Medium,,Yes,4.1,Balanced,High,1.5,Yes,Neutral,No,Yes,No,No,High,0.5,High,Kinesthetic
18.2,Female,College,30000,B,76.6,Medium,,Arts,Private,Low,Medium,Yes,High,,High,Negative,Medium,22.5,No,6.4,Unhealthy,Low,6.2,,Positive,No,Yes,Yes,Yes,Low,,High,Auditory
22.3,Male,College,30000,A,74.9,,3.6,Engineering,Private,Medium,Low,No,Medium,,Low,Positive,High,30.4,Yes,4.5,Balanced,High,-0.2,No,Negative,No,Yes,No,No,High,1.1,High,Kinesthetic
23.9,Male,Graduate,75000,B,66.6,Low,2.3,Business,Public,Medium,Medium,Yes,Medium,High,Medium,Positive,Low,23.7,,8.3,Healthy,Medium,7.2,No,Positive,No,Yes,Yes,No,Medium,4.0,High,Visual
19.4,Female,Graduate,Unknown,C,81.2,Medium,6.1,Arts,Public,Medium,Low,No,High,Medium,Low,Neutral,High,33.4,Yes,7.8,,Medium,1.6,Yes,Positive,No,Yes,Yes,Yes,Medium,2.9,Medium,Auditory
22.7,Female,Graduate,,A,61.4,High,7.5,Science,Private,Medium,Low,Yes,Low,Medium,,Positive,Medium,36.6,Yes,4.4,Healthy,High,1.8,Yes,Positive,No,Yes,,Yes,High,4.2,High,Kinesthetic
17.8,Male,Some College,Unknown,A,74.8,Medium,6.3,Science,Public,Medium,High,Yes,Medium,High,Medium,Positive,Medium,35.1,Yes,5.4,Healthy,Medium,6.5,Yes,Positive,No,Yes,Yes,,Medium,2.9,High,Visual
17.3,Female,Graduate,75000,A,62.7,High,5.7,Law,Private,Medium,Low,Yes,High,,High,Positive,Medium,24.5,Yes,7.7,Healthy,High,7.0,Yes,Positive,,Yes,Yes,Yes,Medium,,Medium,Auditory
,Male,Graduate,40000,C,69.2,,7.2,Business,Private,Low,High,No,Medium,Low,Low,Positive,Low,20.7,No,7.1,Unhealthy,Medium,5.5,Yes,Negative,No,Yes,No,No,Low,2.7,Low,Visual
20.1,Male,Graduate,30000,B,75.3,Low,4.1,Law,Private,Low,Medium,Yes,High,Medium,Low,Negative,High,35.6,Yes,7.3,Unhealthy,Low,2.2,Yes,Positive,No,Yes,Yes,,High,0.8,Medium,Kinesthetic
21.1,Female,Some College,30000,B,82.6,High,4.9,Business,Private,Medium,Low,Yes,High,High,Low,Positive,Medium,24.0,Yes,6.7,Healthy,Medium,4.0,No,Negative,No,Yes,Yes,Yes,Low,3.9,Low,Auditory
18.6,Male,College,40000,C,62.8,High,0.2,Medicine,Private,Medium,High,Yes,Medium,Medium,Medium,Neutral,Medium,21.0,Yes,4.3,Unhealthy,High,7.21,,Positive,No,No,No,No,High,4.4,High,Auditory
18.8,Female,College,40000,B,83.5,Low,6.3,Medicine,Public,Medium,Low,No,High,High,Low,Positive,Medium,24.3,No,8.6,Unhealthy,Low,6.4,Yes,Negative,No,Yes,,No,High,1.4,Low,Visual
18.6,Female,Some College,75000,B,67.8,High,,Law,Private,Medium,Low,Yes,Medium,Medium,Medium,Negative,Medium,37.7,Yes,5.1,Healthy,High,1.0,No,Positive,No,Yes,No,Yes,High,2.0,High,Kinesthetic
21.5,Female,College,Unknown,C,79.5,Low,1.3,Law,Public,Medium,Low,No,High,Medium,Medium,Positive,High,34.9,Yes,4.9,Unhealthy,High,0.5,No,Positive,No,No,No,No,High,2.4,,Kinesthetic
21.0,Male,High School,50000,B,85.3,Low,7.1,Science,Public,Low,Medium,Yes,Medium,High,Medium,Positive,Medium,33.2,Yes,5.3,Balanced,Low,7.4,Yes,Positive,No,Yes,No,No,Medium,1.6,Medium,Visual
21.6,,High School,40000,C,88.5,High,0.6,Engineering,Public,Medium,Low,No,High,High,Low,Positive,High,20.7,Yes,,Balanced,High,0.9,Yes,Neutral,No,Yes,No,No,High,3.0,High,Kinesthetic
16.4,Male,Graduate,75000,C,74.0,Medium,3.0,Law,Private,High,Low,Yes,Medium,Low,Medium,Negative,Medium,28.5,Yes,5.2,Healthy,High,1.1,Yes,Neutral,No,Yes,No,No,,0.6,High,Kinesthetic
25.1,Male,Some College,40000,B,69.2,Low,7.4,Arts,Private,Medium,Low,Yes,High,High,Medium,Negative,Medium,30.6,,4.0,Unhealthy,High,1.0,No,Negative,No,Yes,,,High,1.6,High,Kinesthetic
20.9,Female,College,60000,B,92.6,High,1.5,Engineering,,Low,Low,Yes,,High,High,Positive,High,33.6,Yes,4.6,Balanced,High,1.5,Yes,Neutral,Yes,No,No,No,High,2.6,High,Kinesthetic
20.1,Male,Graduate,40000,B,79.4,Medium,1.7,Science,Public,High,Low,,Medium,,Medium,Positive,Low,25.1,Yes,4.5,Healthy,High,0.8,No,Negative,No,Yes,Yes,No,High,4.2,High,Kinesthetic
13.0,Male,College,Unknown,B,93.5,Medium,7.4,Engineering,Public,Medium,High,Yes,Medium,High,Low,Positive,Medium,23.7,Yes,6.5,Unhealthy,Low,9.64,Yes,Positive,No,Yes,No,Yes,Low,1.3,Medium,Visual
21.4,Male,Some College,60000,B,80.5,Medium,5.9,Business,,Medium,Medium,Yes,High,High,Low,Positive,Medium,23.1,Yes,4.4,Balanced,High,5.3,Yes,Positive,No,Yes,No,Yes,High,3.6,High,Visual
21.2,Male,College,Unknown,A,73.6,,5.4,Science,Private,Medium,Medium,No,High,High,Medium,Positive,Medium,32.0,Yes,,Healthy,Medium,,Yes,Positive,No,Yes,Yes,Yes,Low,0.7,Medium,Auditory
17.4,Male,,30000,A,73.8,High,4.9,Arts,Public,,Medium,Yes,High,High,Medium,Neutral,High,29.5,No,7.3,Balanced,Medium,2.7,Yes,Positive,No,Yes,Yes,Yes,High,2.1,Medium,Auditory
18.1,Male,High School,Unknown,A,92.1,High,7.2,Medicine,Private,Medium,High,Yes,High,High,High,Positive,Medium,20.1,No,4.9,Balanced,Medium,5.0,Yes,Positive,No,Yes,Yes,Yes,High,2.9,High,Visual
18.6,Female,College,Unknown,A,88.4,Low,6.3,Science,Public,Medium,High,Yes,Medium,High,Low,Positive,High,26.0,Yes,5.7,Balanced,Medium,5.7,Yes,Negative,No,Yes,Yes,Yes,Low,2.1,Low,Kinesthetic
22.4,,Some College,60000,B,93.5,Medium,,Engineering,Public,Medium,Low,Yes,Medium,High,High,Positive,Low,33.7,,5.3,Balanced,High,,Yes,Positive,No,Yes,No,No,High,3.2,High,Kinesthetic
22.6,Female,Some College,Unknown,A,99.2,High,1.72,Business,Public,Low,Medium,No,High,Medium,High,Neutral,Medium,26.2,Yes,7.6,Balanced,Medium,5.5,Yes,Positive,,No,Yes,Yes,Medium,3.4,Medium,Auditory
19.5,Male,,75000,B,98.6,High,1.6,Law,Public,High,Low,Yes,Medium,Low,Medium,Positive,High,23.3,Yes,6.7,Balanced,Medium,6.2,Yes,Negative,Yes,Yes,No,,Medium,2.8,Low,Visual
17.7,Female,Some College,40000,A,87.9,Low,,Medicine,Private,Medium,Low,Yes,High,Medium,Medium,Positive,Medium,22.9,Yes,4.7,Healthy,High,0.3,Yes,Neutral,No,Yes,No,No,High,3.6,High,Kinesthetic
19.1,Female,College,,B,77.5,Low,2.5,Arts,Private,Medium,Low,No,Medium,Medium,High,Positive,Low,33.3,Yes,4.3,Unhealthy,High,,Yes,Neutral,,No,Yes,,High,1.3,,Kinesthetic
21.3,Male,College,50000,B,98.9,Medium,7.0,Law,Public,Medium,Low,Yes,Medium,Medium,Low,Neutral,Low,22.7,Yes,5.1,Unhealthy,High,1.1,No,Neutral,No,No,Yes,No,High,3.1,High,Kinesthetic
24.1,Female,Some College,30000,B,,Medium,7.8,Science,Public,Low,Low,Yes,Low,High,High,,Medium,39.6,Yes,5.6,Balanced,High,0.9,Yes,Negative,No,Yes,No,Yes,High,3.3,High,Auditory
13.3,Female,Graduate,75000,B,99.7,Low,2.2,Medicine,Private,Medium,Low,Yes,High,Medium,High,Positive,Medium,36.3,Yes,4.2,Healthy,High,0.1,Yes,Positive,No,Yes,No,No,High,5.0,High,Auditory
13.4,Female,Graduate,40000,B,88.9,High,,Science,Public,Low,High,Yes,High,High,Low,Neutral,Low,38.6,Yes,7.1,,Low,4.6,No,Neutral,No,No,Yes,Yes,Low,2.7,Medium,Auditory
19.4,Male,Some College,30000,B,84.2,High,5.2,Science,Private,Medium,Low,Yes,High,High,Medium,Positive,Low,24.4,No,6.3,Unhealthy,Low,3.8,No,Positive,Yes,Yes,Yes,Yes,Medium,0.6,Medium,Auditory
18.7,Female,High School,50000,B,68.8,Medium,6.2,Medicine,,High,Medium,Yes,High,High,Medium,Positive,Medium,27.2,No,6.6,Balanced,Low,8.0,Yes,Negative,Yes,Yes,No,No,High,,Medium,Visual
17.5,Male,High School,,B,84.4,Low,6.0,Business,Private,Medium,,Yes,High,High,Low,Positive,Low,35.8,Yes,8.9,Healthy,High,5.3,Yes,Positive,No,Yes,No,No,High,4.6,,Visual
20.7,Male,Graduate,Unknown,B,80.6,Medium,6.5,Law,Public,Medium,Low,Yes,High,Low,Medium,Positive,Medium,34.1,Yes,4.2,Balanced,High,,No,Positive,No,No,No,No,High,3.2,High,Kinesthetic
20.4,Female,Graduate,30000,A,83.4,Medium,6.8,Medicine,Public,Low,Medium,Yes,High,High,Medium,Positive,,39.5,Yes,5.7,Balanced,Low,5.1,Yes,Neutral,No,Yes,No,No,Low,3.1,Low,Visual
,Male,High School,40000,C,80.5,High,6.1,Science,Public,Medium,Low,Yes,High,Low,Medium,Negative,Medium,33.2,Yes,6.6,Unhealthy,,7.3,No,Positive,No,No,Yes,Yes,,1.1,Low,Auditory
18.2,Male,Graduate,30000,B,94.1,High,7.5,Medicine,Public,Medium,Medium,Yes,High,High,High,Positive,Low,,Yes,4.4,Balanced,Medium,7.0,Yes,Negative,Yes,Yes,No,,High,1.5,High,Visual
16.3,Male,High School,30000,B,71.6,Medium,,Arts,Private,,High,Yes,Medium,High,Medium,Positive,Medium,34.7,Yes,6.1,Unhealthy,Medium,7.4,Yes,Negative,No,Yes,No,No,High,3.2,Medium,Visual
18.6,Female,High School,75000,B,63.9,High,1.3,Medicine,Private,,High,Yes,High,Medium,Medium,Positive,High,22.5,Yes,7.3,Healthy,,,No,Positive,Yes,No,Yes,Yes,Medium,4.6,Low,Auditory
19.9,Female,Some College,Unknown,C,72.9,Medium,2.5,Arts,Private,Low,Low,,,Medium,Medium,Positive,Low,29.5,Yes,5.4,Unhealthy,High,0.3,Yes,Positive,No,No,Yes,Yes,High,1.4,High,Kinesthetic
16.1,Male,High School,40000,B,65.7,Medium,1.9,Business,Public,Medium,Low,Yes,Medium,Medium,Medium,Positive,High,26.5,Yes,5.1,Balanced,High,0.7,Yes,Positive,,Yes,Yes,No,High,1.5,High,Kinesthetic
14.1,Female,High School,,B,75.1,High,,Law,Public,Medium,Medium,Yes,High,High,High,Positive,Medium,,Yes,8.3,Balanced,Medium,7.5,,Negative,No,Yes,Yes,No,Medium,0.7,Medium,Visual
20.5,Male,College,60000,B,86.4,High,7.0,Engineering,Private,Low,,No,Low,,Medium,Positive,Low,24.4,Yes,7.3,Healthy,Low,6.8,Yes,Positive,No,Yes,Yes,Yes,Low,2.3,Low,Visual
18.1,,College,30000,B,95.6,High,1.7,Arts,Public,Low,Medium,Yes,High,Medium,Medium,Positive,Medium,36.8,Yes,6.8,Unhealthy,Medium,2.4,Yes,Positive,Yes,Yes,Yes,Yes,High,0.6,Medium,Auditory
17.8,Female,College,30000,A,69.7,Medium,6.2,Law,Public,High,High,Yes,High,High,Medium,Positive,High,25.0,Yes,7.0,Balanced,Medium,7.9,Yes,Negative,Yes,Yes,No,No,Low,2.4,Low,Visual
19.3,Male,Some College,60000,B,90.6,,7.2,Science,Private,Low,Low,Yes,Medium,High,High,Positive,Low,37.9,Yes,,Balanced,Medium,7.0,Yes,Positive,No,Yes,No,Yes,Medium,0.2,Medium,Visual
18.1,Male,High School,50000,B,60.3,Medium,1.9,Science,Public,,Low,Yes,High,High,Medium,Negative,Medium,33.0,Yes,4.3,Unhealthy,High,1.5,No,Negative,No,No,No,,High,,High,Kinesthetic
21.6,Male,Some College,40000,B,92.6,Medium,6.3,Science,Private,High,Low,Yes,High,High,Low,Positive,High,30.8,,6.5,Healthy,Medium,6.3,Yes,Positive,Yes,Yes,No,No,High,4.6,Low,Visual
14.7,Male,High School,60000,A,62.8,Medium,6.4,Business,Private,Low,Low,No,High,Low,High,Negative,Low,26.8,No,7.1,Unhealthy,Low,3.6,No,Positive,No,Yes,Yes,,Low,0.3,High,Auditory
,Male,Some College,60000,C,67.9,Medium,6.3,Law,Public,High,High,No,Low,High,High,Positive,Low,37.6,No,8.4,Unhealthy,Medium,5.0,Yes,Neutral,,Yes,No,No,Low,2.6,Low,Auditory
18.3,Female,,Unknown,A,97.7,Medium,6.8,Law,Public,,Medium,No,High,Low,,Positive,,31.0,Yes,5.6,Balanced,Medium,6.4,Yes,Positive,No,Yes,No,Yes,Low,2.6,Medium,Visual
17.0,Female,Some College,50000,C,85.0,High,4.0,Business,Private,Low,Low,No,High,Low,Low,Positive,High,22.9,Yes,7.1,Balanced,High,4.4,No,Positive,No,Yes,Yes,Yes,Low,3.3,Medium,Auditory
22.1,Female,College,60000,B,84.8,Medium,,Arts,Public,High,Low,Yes,Medium,Low,Medium,Neutral,Medium,,Yes,5.1,Healthy,High,1.3,Yes,Negative,Yes,Yes,Yes,Yes,High,4.9,,Kinesthetic
19.2,Male,College,30000,B,90.2,Medium,6.8,Engineering,Private,Medium,High,No,Medium,High,Low,Positive,Medium,38.7,No,5.8,Healthy,Low,6.7,Yes,Neutral,No,Yes,No,No,Low,3.8,High,Visual
20.4,Female,Graduate,Unknown,A,79.1,Medium,0.6,Science,Public,Medium,Low,Yes,Low,Low,High,Positive,Low,38.4,Yes,4.5,Balanced,High,1.2,No,Negative,,Yes,No,No,High,2.6,High,Auditory
18.2,Female,College,30000,B,80.4,High,,Science,Public,Medium,Low,Yes,High,Low,Medium,Neutral,Low,32.2,Yes,7.1,Unhealthy,High,3.0,Yes,Positive,No,Yes,Yes,Yes,Medium,5.2,High,Auditory
26.6,Male,College,50000,C,65.8,High,7.3,Science,Public,Low,High,No,High,Medium,,Positive,Low,34.8,No,7.2,Unhealthy,Low,4.9,Yes,,No,No,Yes,,Medium,2.8,Low,Auditory
21.3,Male,,40000,B,70.95,Low,8.1,Arts,Public,High,Low,No,High,Low,High,Neutral,High,31.3,Yes,5.3,Healthy,High,1.2,No,Positive,No,Yes,Yes,No,High,4.5,High,Kinesthetic
20.5,Female,Graduate,60000,B,99.5,High,7.9,Science,Public,Medium,Medium,Yes,High,Medium,,Positive,High,25.8,Yes,7.0,Healthy,High,6.7,No,,No,Yes,Yes,Yes,High,1.3,High,Auditory
17.7,Female,High School,,C,66.0,High,1.7,Engineering,Private,,Low,Yes,Low,High,Low,Neutral,Medium,27.6,Yes,4.0,Unhealthy,High,,Yes,Negative,No,Yes,No,No,High,2.1,High,Kinesthetic
19.1,Female,Graduate,50000,C,74.3,Low,7.5,Business,Public,Low,High,Yes,Medium,High,Medium,Positive,High,34.8,No,5.7,Healthy,Low,6.0,Yes,Negative,No,Yes,No,No,Low,4.3,Medium,Visual
17.9,Male,College,Unknown,B,,Medium,1.1,Science,,Medium,High,Yes,High,Medium,High,Neutral,Medium,26.7,Yes,5.5,Balanced,High,0.6,No,Positive,No,Yes,No,No,High,4.3,High,Kinesthetic
19.3,Female,Some College,40000,B,,High,0.4,Business,Private,Medium,Low,Yes,Medium,Medium,Low,Positive,Medium,35.8,,4.3,Balanced,High,1.2,No,Positive,No,Yes,No,No,High,2.7,High,Kinesthetic
19.7,Male,College,,C,68.3,Low,7.1,Arts,Private,Medium,Medium,No,High,High,High,Positive,Medium,30.5,Yes,8.8,Unhealthy,High,7.6,Yes,Positive,No,Yes,No,No,Low,3.5,Medium,Visual
,Male,High School,60000,B,68.2,High,4.9,Arts,Private,Low,Medium,Yes,High,High,Medium,Neutral,,24.2,Yes,7.6,,Medium,7.4,Yes,Positive,No,Yes,Yes,Yes,Low,-0.1,High,Visual
17.9,Male,Some College,75000,A,62.0,High,2.6,Engineering,,,Medium,No,High,High,Low,Positive,High,22.6,No,,Healthy,High,2.7,,Positive,No,Yes,Yes,Yes,Low,1.8,Medium,Auditory
19.9,Male,Graduate,75000,A,77.3,High,7.5,Engineering,Public,High,Low,Yes,High,Medium,,Positive,High,,No,7.5,Unhealthy,Medium,3.9,Yes,Positive,No,Yes,Yes,Yes,Medium,4.0,,Auditory
17.6,Male,Some College,50000,B,86.4,Medium,7.2,Engineering,Public,Low,Low,Yes,Medium,High,Medium,Neutral,Medium,37.5,Yes,4.5,Unhealthy,High,0.8,Yes,Positive,No,,No,Yes,High,4.5,High,Kinesthetic
19.0,Male,Some College,30000,B,68.8,High,,Arts,Public,Medium,High,Yes,High,High,Medium,Neutral,Medium,26.8,No,,Healthy,Low,5.7,No,Positive,No,Yes,Yes,Yes,Medium,2.0,Low,Auditory
19.3,Male,Some College,75000,B,91.7,High,7.9,Business,Public,Medium,High,Yes,Medium,High,High,Positive,Medium,38.4,Yes,8.1,Healthy,High,6.62,Yes,Neutral,No,Yes,Yes,Yes,Medium,3.8,High,Visual
19.7,Female,Graduate,Unknown,A,67.5,Medium,2.1,Law,Public,Low,Low,No,Medium,Low,Low,Positive,High,20.2,Yes,5.3,Balanced,High,1.1,Yes,Positive,No,No,No,No,High,1.5,High,Kinesthetic
22.7,Male,College,75000,B,74.0,Low,7.2,Medicine,Private,Medium,Medium,No,High,High,Medium,Positive,Medium,29.6,Yes,6.2,Unhealthy,Medium,7.9,Yes,Positive,Yes,Yes,No,Yes,Medium,2.1,Medium,Visual
25.8,Female,Some College,75000,B,70.7,High,4.0,Business,Private,Medium,High,,High,High,Low,Negative,Medium,37.3,No,7.7,Unhealthy,High,8.0,Yes,Positive,Yes,Yes,Yes,Yes,Low,,Medium,Auditory
18.2,Female,Graduate,50000,A,87.7,Low,7.0,Science,Private,,Medium,No,High,High,Medium,Positive,Medium,36.5,Yes,4.6,Unhealthy,Medium,7.6,Yes,Neutral,No,Yes,No,No,Medium,2.7,Medium,Visual
20.2,Female,Some College,40000,,70.0,Medium,2.64,,,Medium,Low,Yes,Low,Medium,Medium,Positive,Low,30.0,Yes,4.8,Balanced,High,1.1,No,,Yes,Yes,No,Yes,High,4.4,High,Kinesthetic
19.8,Male,College,30000,B,86.6,,6.0,Engineering,Private,High,High,Yes,Medium,High,High,Positive,High,29.2,No,,Healthy,High,,Yes,Neutral,No,Yes,No,No,Medium,1.2,,Visual
21.9,Male,High School,60000,A,61.4,,1.8,Medicine,Public,Medium,High,Yes,High,,Medium,Negative,Medium,20.2,Yes,5.2,Unhealthy,,1.4,No,,Yes,Yes,No,No,,3.6,High,Kinesthetic
20.5,Male,Graduate,40000,A,71.2,High,3.3,Medicine,Private,Medium,Medium,Yes,High,Low,Medium,Positive,Medium,25.8,Yes,7.4,Unhealthy,Medium,6.0,Yes,Positive,No,Yes,Yes,Yes,High,3.4,Medium,Auditory
18.5,Male,Graduate,75000,A,67.6,High,2.1,Engineering,,High,Low,Yes,Medium,High,,Neutral,Low,,Yes,5.5,Balanced,High,1.1,No,Negative,Yes,Yes,No,No,High,4.1,High,Kinesthetic
19.1,Male,,Unknown,C,69.6,Medium,7.1,Business,Public,Low,Low,Yes,Medium,Medium,Low,Negative,Medium,24.5,Yes,,Healthy,High,0.5,Yes,,No,No,Yes,Yes,High,5.0,High,Kinesthetic
18.4,Female,Graduate,50000,B,95.7,Low,0.8,Business,Public,Low,Low,No,High,Medium,Medium,Positive,Low,20.7,Yes,5.2,Healthy,High,1.6,Yes,Positive,No,No,,No,High,1.2,High,Kinesthetic
18.4,Female,,Unknown,B,72.4,High,7.6,Medicine,Private,,Low,Yes,Low,Medium,High,Neutral,High,31.6,Yes,4.0,Unhealthy,High,0.2,Yes,,Yes,No,No,No,High,0.9,High,Kinesthetic
18.4,Female,High School,30000,C,61.1,,7.8,Business,Public,Medium,Medium,,,Low,Medium,Positive,Medium,34.4,No,6.8,Balanced,Low,3.1,,Positive,No,No,Yes,Yes,High,,High,Auditory
20.9,Female,Some College,50000,A,81.1,Medium,5.3,Medicine,Public,Medium,Low,Yes,Medium,Low,Medium,Positive,Medium,24.1,Yes,4.6,Unhealthy,High,1.2,Yes,Positive,No,Yes,No,No,High,1.1,High,Kinesthetic
18.6,Male,Graduate,Unknown,B,68.5,Medium,6.8,Medicine,Public,Medium,Low,Yes,High,High,Medium,Positive,Medium,33.0,Yes,5.8,Healthy,High,7.8,Yes,Neutral,No,Yes,No,Yes,High,4.1,High,Visual
23.6,Male,Graduate,75000,A,93.9,Low,4.4,Medicine,Public,Medium,Low,Yes,High,Low,Low,Positive,Low,21.6,Yes,5.2,Unhealthy,,0.5,Yes,Positive,No,Yes,No,Yes,High,0.4,High,Kinesthetic
,Male,High School,75000,B,91.2,Medium,6.6,Business,Public,,High,No,High,High,Medium,Positive,High,34.1,No,7.3,Unhealthy,Medium,6.6,Yes,Positive,No,Yes,Yes,Yes,Low,3.5,Medium,Visual
26.9,Male,Some College,40000,B,,High,3.3,Business,Public,Low,Low,No,Medium,Medium,,Positive,,21.8,Yes,5.1,Healthy,High,1.5,No,Neutral,Yes,Yes,No,No,High,3.0,High,Kinesthetic
19.3,Female,High School,60000,B,91.7,High,5.0,Arts,Private,Low,Low,Yes,High,,High,Negative,Low,26.8,Yes,6.8,Unhealthy,Low,2.9,No,Positive,No,Yes,Yes,Yes,Medium,0.5,High,Auditory
19.6,Male,Some College,60000,B,70.1,High,7.9,Medicine,Public,Medium,Medium,Yes,Medium,High,Low,Positive,Medium,21.4,Yes,7.4,Balanced,Medium,6.4,Yes,Positive,No,Yes,No,No,Low,4.5,High,Visual
17.7,Male,Some College,50000,B,92.2,High,2.2,Medicine,Private,Medium,Low,Yes,High,High,High,Positive,High,24.1,Yes,7.5,Balanced,Medium,4.7,No,Positive,,Yes,Yes,Yes,High,0.5,Low,Visual
20.4,Female,College,60000,C,99.7,High,4.4,Engineering,Private,Low,High,No,Medium,Medium,Medium,Positive,High,29.4,Yes,5.1,Balanced,High,0.1,No,Neutral,No,Yes,Yes,No,High,2.2,High,Kinesthetic
